id,start_floor,end_floor,start_timestamp,enter_elevator_timestamp,leave_elevator_timestamp,end_timestamp
25,3,0,2020-02-19T20:49:32.825077,2020-02-19T20:49:50.101445,2020-02-19T20:50:42.189171,2020-02-19T20:50:42.212515
24,3,0,2020-02-19T20:49:32.825068,2020-02-19T20:49:50.101453,2020-02-19T20:50:42.189177,2020-02-19T20:50:42.212521
23,3,0,2020-02-19T20:49:32.825060,2020-02-19T20:49:50.101459,2020-02-19T20:50:42.189183,2020-02-19T20:50:42.212526
22,3,0,2020-02-19T20:49:32.825050,2020-02-19T20:49:50.101466,2020-02-19T20:50:42.189189,2020-02-19T20:50:42.212531
38,4,0,2020-02-19T20:49:32.825732,2020-02-19T20:49:54.125810,2020-02-19T20:50:42.189195,2020-02-19T20:50:42.212537
48,5,0,2020-02-19T20:49:32.825639,2020-02-19T20:49:58.091190,2020-02-19T20:50:42.189201,2020-02-19T20:50:42.212542
58,6,0,2020-02-19T20:49:32.828614,2020-02-19T20:50:02.170970,2020-02-19T20:50:42.189207,2020-02-19T20:50:42.212547
68,7,0,2020-02-19T20:49:32.826326,2020-02-19T20:50:06.174725,2020-02-19T20:50:42.189214,2020-02-19T20:50:42.212553
78,8,0,2020-02-19T20:49:32.827512,2020-02-19T20:50:10.203188,2020-02-19T20:50:42.189220,2020-02-19T20:50:42.212558
88,9,0,2020-02-19T20:49:32.830379,2020-02-19T20:50:15.211614,2020-02-19T20:50:42.189226,2020-02-19T20:50:42.212564
21,3,0,2020-02-19T20:49:32.825040,2020-02-19T20:49:55.270161,2020-02-19T20:50:47.349115,2020-02-19T20:50:47.372945
20,3,0,2020-02-19T20:49:32.825019,2020-02-19T20:49:55.270178,2020-02-19T20:50:47.349137,2020-02-19T20:50:47.372961
37,4,0,2020-02-19T20:49:32.825724,2020-02-19T20:49:59.303988,2020-02-19T20:50:47.349145,2020-02-19T20:50:47.372969
36,4,0,2020-02-19T20:49:32.825715,2020-02-19T20:49:59.304007,2020-02-19T20:50:47.349151,2020-02-19T20:50:47.372975
35,4,0,2020-02-19T20:49:32.825707,2020-02-19T20:49:59.304015,2020-02-19T20:50:47.349157,2020-02-19T20:50:47.372981
34,4,0,2020-02-19T20:49:32.825698,2020-02-19T20:49:59.304022,2020-02-19T20:50:47.349163,2020-02-19T20:50:47.372986
33,4,0,2020-02-19T20:49:32.825688,2020-02-19T20:49:59.304029,2020-02-19T20:50:47.349169,2020-02-19T20:50:47.372992
32,4,0,2020-02-19T20:49:32.825679,2020-02-19T20:49:59.304036,2020-02-19T20:50:47.349174,2020-02-19T20:50:47.372997
31,4,0,2020-02-19T20:49:32.825669,2020-02-19T20:49:59.304042,2020-02-19T20:50:47.349180,2020-02-19T20:50:47.373003
30,4,0,2020-02-19T20:49:32.825649,2020-02-19T20:49:59.304048,2020-02-19T20:50:47.349186,2020-02-19T20:50:47.373008
47,5,0,2020-02-19T20:49:32.825630,2020-02-19T20:50:03.303296,2020-02-19T20:50:47.349192,2020-02-19T20:50:47.373014
46,5,0,2020-02-19T20:49:32.825622,2020-02-19T20:50:03.303314,2020-02-19T20:50:47.349198,2020-02-19T20:50:47.373019
45,5,0,2020-02-19T20:49:32.825613,2020-02-19T20:50:03.303322,2020-02-19T20:50:47.349204,2020-02-19T20:50:47.373025
44,5,0,2020-02-19T20:49:32.825604,2020-02-19T20:50:03.303329,2020-02-19T20:50:47.349210,2020-02-19T20:50:47.373030
43,5,0,2020-02-19T20:49:32.825595,2020-02-19T20:50:03.303336,2020-02-19T20:50:47.349215,2020-02-19T20:50:47.373036
42,5,0,2020-02-19T20:49:32.825585,2020-02-19T20:50:03.303342,2020-02-19T20:50:47.349221,2020-02-19T20:50:47.373041
57,6,0,2020-02-19T20:49:32.828605,2020-02-19T20:50:07.283731,2020-02-19T20:50:47.349227,2020-02-19T20:50:47.373046
67,7,0,2020-02-19T20:49:32.826318,2020-02-19T20:50:11.322204,2020-02-19T20:50:47.349233,2020-02-19T20:50:47.373052
77,8,0,2020-02-19T20:49:32.827504,2020-02-19T20:50:15.434960,2020-02-19T20:50:47.349239,2020-02-19T20:50:47.373058
87,9,0,2020-02-19T20:49:32.830371,2020-02-19T20:50:20.395542,2020-02-19T20:50:47.349245,2020-02-19T20:50:47.373063
41,5,0,2020-02-19T20:49:32.825575,2020-02-19T20:50:08.392047,2020-02-19T20:50:51.554063,2020-02-19T20:50:51.566196
40,5,0,2020-02-19T20:49:32.825555,2020-02-19T20:50:08.392069,2020-02-19T20:50:51.554083,2020-02-19T20:50:51.566212
56,6,0,2020-02-19T20:49:32.828597,2020-02-19T20:50:12.434968,2020-02-19T20:50:51.554091,2020-02-19T20:50:51.566219
55,6,0,2020-02-19T20:49:32.828588,2020-02-19T20:50:12.434990,2020-02-19T20:50:51.554097,2020-02-19T20:50:51.566225
54,6,0,2020-02-19T20:49:32.828579,2020-02-19T20:50:12.434998,2020-02-19T20:50:51.554103,2020-02-19T20:50:51.566230
53,6,0,2020-02-19T20:49:32.828570,2020-02-19T20:50:12.435005,2020-02-19T20:50:51.554110,2020-02-19T20:50:51.566236
52,6,0,2020-02-19T20:49:32.828561,2020-02-19T20:50:12.435012,2020-02-19T20:50:51.554116,2020-02-19T20:50:51.566241
51,6,0,2020-02-19T20:49:32.828551,2020-02-19T20:50:12.435019,2020-02-19T20:50:51.554121,2020-02-19T20:50:51.566247
50,6,0,2020-02-19T20:49:32.828530,2020-02-19T20:50:12.435025,2020-02-19T20:50:51.554127,2020-02-19T20:50:51.566252
66,7,0,2020-02-19T20:49:32.826309,2020-02-19T20:50:16.456607,2020-02-19T20:50:51.554134,2020-02-19T20:50:51.566258
65,7,0,2020-02-19T20:49:32.826300,2020-02-19T20:50:16.456629,2020-02-19T20:50:51.554139,2020-02-19T20:50:51.566263
64,7,0,2020-02-19T20:49:32.826291,2020-02-19T20:50:16.456637,2020-02-19T20:50:51.554145,2020-02-19T20:50:51.566269
63,7,0,2020-02-19T20:49:32.826282,2020-02-19T20:50:16.456644,2020-02-19T20:50:51.554151,2020-02-19T20:50:51.566274
62,7,0,2020-02-19T20:49:32.826273,2020-02-19T20:50:16.456651,2020-02-19T20:50:51.554157,2020-02-19T20:50:51.566280
61,7,0,2020-02-19T20:49:32.826262,2020-02-19T20:50:16.456657,2020-02-19T20:50:51.554163,2020-02-19T20:50:51.566285
60,7,0,2020-02-19T20:49:32.826242,2020-02-19T20:50:16.456664,2020-02-19T20:50:51.554169,2020-02-19T20:50:51.566290
76,8,0,2020-02-19T20:49:32.827495,2020-02-19T20:50:20.486431,2020-02-19T20:50:51.554174,2020-02-19T20:50:51.566296
75,8,0,2020-02-19T20:49:32.827486,2020-02-19T20:50:20.486450,2020-02-19T20:50:51.554180,2020-02-19T20:50:51.566301
74,8,0,2020-02-19T20:49:32.827477,2020-02-19T20:50:20.486458,2020-02-19T20:50:51.554186,2020-02-19T20:50:51.566307
86,9,0,2020-02-19T20:49:32.830362,2020-02-19T20:50:24.454591,2020-02-19T20:50:51.554192,2020-02-19T20:50:51.566312
73,8,0,2020-02-19T20:49:32.827469,2020-02-19T20:50:25.653222,2020-02-19T20:50:56.757955,2020-02-19T20:50:56.787847
72,8,0,2020-02-19T20:49:32.827460,2020-02-19T20:50:25.653243,2020-02-19T20:50:56.757975,2020-02-19T20:50:56.787862
71,8,0,2020-02-19T20:49:32.827450,2020-02-19T20:50:25.653251,2020-02-19T20:50:56.757982,2020-02-19T20:50:56.787869
70,8,0,2020-02-19T20:49:32.827428,2020-02-19T20:50:25.653258,2020-02-19T20:50:56.757988,2020-02-19T20:50:56.787875
85,9,0,2020-02-19T20:49:32.830353,2020-02-19T20:50:29.719894,2020-02-19T20:50:56.757994,2020-02-19T20:50:56.787881
84,9,0,2020-02-19T20:49:32.830344,2020-02-19T20:50:29.719912,2020-02-19T20:50:56.758000,2020-02-19T20:50:56.787886
83,9,0,2020-02-19T20:49:32.830335,2020-02-19T20:50:29.719920,2020-02-19T20:50:56.758006,2020-02-19T20:50:56.787892
82,9,0,2020-02-19T20:49:32.830326,2020-02-19T20:50:29.719927,2020-02-19T20:50:56.758012,2020-02-19T20:50:56.787897
81,9,0,2020-02-19T20:49:32.830315,2020-02-19T20:50:29.719933,2020-02-19T20:50:56.758018,2020-02-19T20:50:56.787903
80,9,0,2020-02-19T20:49:32.830295,2020-02-19T20:50:29.719940,2020-02-19T20:50:56.758024,2020-02-19T20:50:56.787908
